premise	hypothesis	entailment	reasoning_type	function_name	g_id
James is running. Robert is running.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Robert is running.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Robert is running.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Robert is running.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Robert is running.	Robert is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Robert is running.	Robert is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Robert is running.	Robert is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Robert is running.	Robert is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Sophia is running.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Sophia is running.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Sophia is running.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Sophia is running.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Sophia is running.	Sophia is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Sophia is running.	Sophia is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Sophia is running.	Sophia is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Sophia is running.	Sophia is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Emma is running.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Emma is running.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Emma is running.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Emma is running.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Emma is running.	Emma is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Emma is running.	Emma is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Emma is running.	Emma is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Emma is running.	Emma is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. James is running.	Robert is moving.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. James is running.	Robert is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. James is running.	Robert is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. James is running.	Robert is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. James is running.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. James is running.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. James is running.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. James is running.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Sophia is running.	Robert is moving.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Sophia is running.	Robert is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Sophia is running.	Robert is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Sophia is running.	Robert is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Sophia is running.	Sophia is moving.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Sophia is running.	Sophia is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Sophia is running.	Sophia is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Sophia is running.	Sophia is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Emma is running.	Robert is moving.	entailment	motion	two_motion_two_hop_jerund	0
